District,OperatingExpenditures,County Name,Teachers Attendance Rate 2016-17,Average Teacher Salary,Average Years of Teacher Experience,Lead/Senior Professional Teachers,Average Number of Full Time Teachers,Teacher FTE Who Have At Least a Bachelors,% of Teachers Who Have At Least a Bachelors,Teacher FTE Who Have At Least a Masters,% of Teachers Who Have At Least a Masters,Total # of Core Courses,# of Core Courses Taught by a Properly Certified Teacher,% of Core Courses Taught by a Properly Certified Teacher,# of Core Courses Taught by a Highly Qualified Teacher,% of Core Courses Taught  by a Highly Qualified Teacher,# of Core Courses Taught by Teacher with a Temporary Certificate,% Core Courses w/ Temp Qual Tchr,% of Principals with at least Bachelors,% Principals at least Masters,# of School Counselors,# of School Counselors per 1000 Stdnts,# of School Nurses,# of School Nurses /per 1000 Stdnts,School Psychologist FTE,School Psychologist per 1000 Stdnts,Interpreter FTE,# of Interpreters per 1000 Stdnts,Library / Media Specialist FTE,# of Lib/Media Specialists per 1000 Stdnts,Audiologist FTE,# of Audiologists  per 1000 Stdnts,Physical/Occupational Therapists FTE,# of Physical/Occupational Therapists per 1000 Studnets,# of Social Workers,# of Social Workers per 1000 Stdnts,# of General Education Teachers,General Education Teachers FTE per 1000 Stdnts,# of CTE Teachers,# of CTE Teachers / 1000 Stdnts,# of Special Education Teachers,# of Special Educuaction Teachers per 1000 Stdnts,# of Teacher Aides,# of Teacher Aides per 1000 Stdnts,# of Gifted Intervention Specialists,# of Gifted Teachers / 1000 Stdnts,# of Fine Arts Teachers,# of Fine Arts Teachers per 1000 Stdnts,# of Music Teachers,# of Music Teachers /per1000 Stdnts,# of Physical Education Teachers,# of Phys Ed Teachers per 1000 Stdnts,ESL Teachers,# of ESL Teachers per 1000 Stdnts,# of Adaptive Phys Ed Teachers,# of Adaptive PE Teachers per 1000 Stdnts,# of Speech Language Pathologists,# of Speech Language Pathologists per 1000 Stdnts,% of Teachers  Evaluated as  Ineffective,% of Teachers  Evaluated as  Developing,% of Teachers  Evaluated as Skilled,% of Teachers  Evaluated as  Accomplished,% of Teachers  Evaluations Not Completed,% of Principals Evalulated as  Ineffective,% of Principals Evalulated as Developing,% of Principals Evalulated as Skilled,% of Principals Evalulated as Accomplished,% of Principals Evalulations Not Completed
Wooster City,40050147.68,Wayne,95.2,58067.0,14.0,0.0,234.0,233.0,99.6,106.0,45.1,1086.0,1079.0,99.4,1079.0,99.4,0.0,0.0,1.0,0.71,10.0,2.86316303,8.10473347,2.32051732,3.0,0.8589489,0.0,0.0,5.62,1.60909762,0.0,0.0,0.0,0.0,0.0,0.0,168.07,48.121181,2.0,0.5726326,51.01,14.6049946,1.43,0.40943231,4.0,1.14526521,10.0,2.86316303,7.0,2.00421412,10.0,2.86316303,0.0,0.0,0.0,0.0,4.0,1.14526521,0.0,0.00411522,0.22222222,0.77366255,0.0,0.0,0.0,0.18181818,0.81818181,0.0
Worthington City,127956685.28,Franklin,94.4,73556.0,16.0,6.0,641.0,640.0,100.0,445.0,69.5,2178.0,2178.0,100.0,2178.0,100.0,0.0,0.0,1.0,0.95,21.5,2.18744403,6.0,0.61044949,14.1,1.43455632,0.0,0.0,13.8,1.40403384,0.0,0.0,8.6,0.87497761,0.0,0.0,451.97,45.9841433,1.0,0.10174158,67.14,6.83092989,114.31,11.6300803,13.2,1.34298889,22.02,2.24034966,28.41,2.89047837,24.54,2.49673845,16.0,1.62786533,1.0,0.10174158,12.0,1.22089899,0.0,0.00298953,0.15097159,0.84005979,0.00597907,0.0,0.0,0.23076923,0.65384615,0.11538461
Wyoming City,25506628.76,Hamilton,95.5,77861.0,17.0,2.0,131.0,131.0,100.0,102.0,77.6,696.0,695.0,99.9,695.0,99.9,0.0,0.0,1.0,1.0,6.0,3.16104332,2.0,1.0536811,1.0,0.52684055,0.0,0.0,4.86,2.56044509,0.0,0.0,0.0,0.0,0.0,0.0,102.92,54.2224297,0.0,0.0,3.66,1.92823642,0.0,0.0,2.0,1.0536811,7.5,3.95130415,6.02,3.17158013,6.0,3.16104332,0.0,0.0,0.0,0.0,2.21,1.16431762,0.0,0.0367647,0.83088235,0.11029411,0.02205882,0.0,0.16666666,0.83333333,0.0,0.0
Xenia Community City,47180181.11,Greene,94.5,58541.0,8.0,5.0,274.0,274.0,100.0,199.0,72.7,1148.0,1136.0,99.0,1130.0,98.4,0.0,0.0,1.0,1.0,12.0,2.83469415,11.29,2.66697475,0.0,0.0,0.81,0.19134185,4.65,1.09844398,0.0,0.0,0.0,0.0,0.0,0.0,185.08,43.7204328,3.0,0.70867353,49.58,11.7120113,6.59,1.55671954,3.25,0.76772966,84.03,19.8499458,7.0,1.65357159,11.75,2.77563802,0.0,0.0,0.0,0.0,9.8,2.31500022,0.0,0.0,0.11808118,0.88191881,0.0,0.0,0.0,0.0,1.0,0.0
Youngstown City,92708071.37,Mahoning,93.6,49892.0,7.0,3.0,420.0,418.0,99.5,156.0,37.2,2208.0,2142.0,97.0,2115.0,95.8,0.0,0.0,1.0,0.88,21.25,4.1481856,12.0,2.34250481,7.0,1.36646113,5.0,0.97604367,16.0,3.12333974,1.0,0.19520873,4.0,0.78083493,12.0,2.34250481,248.14,48.4390953,19.0,3.70896594,80.9,15.7923865,58.0,11.3221065,42.0,8.19876683,18.0,3.51375721,18.0,3.51375721,14.0,2.73292227,4.0,0.78083493,1.0,0.19520873,13.0,2.53771354,0.00253164,0.0556962,0.41518987,0.52151898,0.00506329,0.0,0.0,0.65517241,0.13793103,0.20689655
Zanesville City,40468716.32,Muskingum,94.2,49786.0,10.0,0.0,216.0,213.0,98.5,122.0,56.4,1226.0,1224.0,99.8,1224.0,99.8,0.0,0.0,1.0,1.0,5.0,1.55082896,4.0,1.24066317,3.0,0.93049737,1.0,0.31016579,0.0,0.0,0.0,0.0,1.0,0.31016579,0.0,0.0,148.63,46.0999417,2.0,0.62033158,49.91,15.4803747,51.8,16.066588,1.0,0.31016579,4.02,1.24686648,8.02,2.48752965,7.01,2.1742622,0.25,0.07754144,0.0,0.0,7.0,2.17116055,0.0,0.0,0.28636363,0.7090909,0.00454545,0.0,0.0,0.33333333,0.58333333,0.08333333
Ada Exempted Village,8611488.35,Hardin,94.5,54986.0,7.0,1.0,54.0,54.0,100.0,34.0,62.7,294.0,294.0,100.0,294.0,100.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,47.31,47.31,1.0,1.0,1.39,1.39,6.12,6.12,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07017543,0.6491228,0.28070175,0.0,0.0,0.0,0.33333333,0.66666666,0.0
Amherst Exempted Village,36131426.05,Lorain,96.3,65952.0,17.0,1.0,196.0,196.0,100.0,157.0,79.9,1053.0,1052.0,99.9,1052.0,99.9,0.0,0.0,1.0,1.0,6.0,1.62925505,2.64,0.71687222,2.0,0.54308501,0.0,0.0,4.0,1.08617003,0.0,0.0,2.0,0.54308501,0.0,0.0,143.35,38.9256187,1.0,0.2715425,33.44,9.08038151,18.72,5.08327577,1.4,0.38015951,7.0,1.90079756,8.0,2.17234007,8.5,2.30811132,0.0,0.0,0.0,0.0,3.6,0.97755303,0.0,0.0,0.09,0.89,0.02,0.0,0.0,0.0,0.71428571,0.28571428
Barnesville Exempted Village,12769652.32,Belmont,93.6,45769.0,15.0,0.0,85.0,82.0,96.5,44.0,51.4,422.0,422.0,100.0,422.0,100.0,0.0,0.0,1.0,1.0,2.0,1.45303089,2.0,1.45303089,0.0,0.0,0.0,0.0,2.0,1.45303089,0.0,0.0,0.0,0.0,0.0,0.0,66.93,48.6256789,3.0,2.17954634,10.0,7.26515447,0.0,0.0,1.0,0.72651544,3.0,2.17954634,2.0,1.45303089,2.53,1.83808408,0.0,0.0,0.0,0.0,1.0,0.72651544,0.0,0.01298701,0.07792207,0.89610389,0.01298701,0.0,0.0,0.66666666,0.33333333,0.0
Bluffton Exempted Village,9997176.33,Allen,95.4,53765.0,17.0,0.0,67.0,67.0,100.0,56.0,84.4,381.0,381.0,100.0,381.0,100.0,0.0,0.0,1.0,1.0,2.0,1.78254866,1.0,0.89127433,0.0,0.0,0.0,0.0,2.0,1.78254866,0.0,0.0,0.0,0.0,0.0,0.0,56.5,50.3569997,0.0,0.0,4.67,4.16225112,1.8,1.60429379,0.0,0.0,7.5,6.68455748,5.37,4.78614315,3.0,2.67382299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01538461,0.44615384,0.53846153,0.0,0.0,0.0,0.0,1.0,0.0
Bradford Exempted Village,5771113.27,Miami,94.9,45961.0,13.0,0.0,37.0,37.0,100.0,21.0,57.1,214.0,212.0,99.1,212.0,99.1,0.0,0.0,1.0,1.0,1.0,1.0,0.73,0.73,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.57,27.57,0.0,0.0,6.25,6.25,0.0,0.0,0.3,0.3,1.99,1.99,3.0,3.0,1.99,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65853658,0.34146341,0.0,0.0,0.0,0.5,0.5,0.0
Bridgeport Exempted Village,7875401.630000001,Belmont,94.7,43594.0,10.0,0.0,58.0,58.0,100.0,28.0,49.2,277.0,277.0,100.0,277.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.03,37.03,1.0,1.0,17.0,17.0,10.0,10.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.13793103,0.86206896,0.0,0.0,0.0,0.0,1.0,0.0
Harrison Hills City,16429792.059999999,Harrison,93.7,46381.0,13.0,2.0,93.0,93.0,100.0,50.0,53.8,412.0,412.0,100.0,412.0,100.0,0.0,0.0,1.0,1.0,1.0,0.64443794,3.0,1.93331384,1.0,0.64443794,0.0,0.0,2.0,1.28887589,0.0,0.0,2.0,1.28887589,6.0,3.86662768,64.8,41.759579,2.0,1.28887589,17.2,11.0843327,0.0,0.0,0.0,0.0,7.0,4.51106563,3.0,1.93331384,3.0,1.93331384,0.0,0.0,0.0,0.0,2.0,1.28887589,0.0,0.0,0.53968254,0.46031746,0.0,0.0,0.0,0.4,0.6,0.0
Caldwell Exempted Village,9078127.05,Noble,94.7,43589.0,12.0,0.0,55.0,55.0,100.0,30.0,54.5,298.0,298.0,100.0,296.0,99.3,0.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.01851851,0.62962963,0.31481481,0.03703703,0.0,0.0,0.33333333,0.66666666,0.0
Carey Exempted Village Schools,8745306.51,Wyandot,95.9,55584.0,15.0,0.0,58.0,58.0,100.0,39.0,68.2,441.0,441.0,100.0,436.0,98.9,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,42.15,42.15,3.0,3.0,7.44,7.44,5.0,5.0,0.0,0.0,4.0,4.0,3.74,3.74,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.55,0.0,0.0,0.0,0.0,1.0,0.0
Carrollton Exempted Village,21591214.92,Carroll,94.5,50864.0,11.0,0.0,140.0,140.0,100.0,78.0,55.9,610.0,601.0,98.5,601.0,98.5,0.0,0.0,1.0,1.0,4.0,1.990247,1.0,0.49756175,2.0,0.9951235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,50.7512985,2.0,0.9951235,25.0,12.4390437,0.0,0.0,0.0,0.0,39.5,19.6536891,5.0,2.48780875,6.0,2.9853705,0.0,0.0,0.0,0.0,1.0,0.49756175,0.0,0.01639344,0.14754098,0.83606557,0.0,0.0,0.0,0.2,0.8,0.0
Chagrin Falls Exempted Village,26816036.26,Cuyahoga,93.0,69118.0,20.0,0.0,129.0,129.0,100.0,107.0,82.4,848.0,848.0,100.0,848.0,100.0,0.0,0.0,1.0,0.8,6.0,3.05772726,0.0,0.0,1.8,0.91731818,0.0,0.0,2.5,1.27405302,0.0,0.0,1.0,0.50962121,0.0,0.0,99.84,50.8805817,0.0,0.0,15.5,7.89912877,33.81,17.2302931,1.1,0.56058333,6.0,3.05772726,6.01,3.06282348,4.8,2.44618181,0.0,0.0,0.0,0.0,2.0,1.01924242,0.0,0.00763358,0.1832061,0.8091603,0.0,0.0,0.0,0.2,0.8,0.0
Chesapeake Union Exempted Village,12640231.969999999,Lawrence,95.1,53047.0,16.0,1.0,82.0,81.0,98.8,47.0,56.8,377.0,377.0,100.0,377.0,100.0,0.0,0.0,1.0,1.0,1.0,0.74544142,2.0,1.49088285,0.0,0.0,0.0,0.0,2.0,1.49088285,0.0,0.0,0.0,0.0,0.0,0.0,61.0,45.4719269,0.0,0.0,15.48,11.5394332,22.77,16.9737012,0.0,0.0,7.5,5.59081068,2.33,1.73687852,4.0,2.98176569,0.0,0.0,0.0,0.0,1.0,0.74544142,0.0,0.0,0.59259259,0.4074074,0.0,0.0,0.0,1.0,0.0,0.0
Clyde-Green Springs Exempted Village,21473355.1,Sandusky,94.3,56874.0,12.0,4.0,145.0,143.0,98.6,96.0,66.4,597.0,589.0,98.7,581.0,97.3,0.0,0.0,1.0,1.0,5.0,2.32880243,1.5,0.69864073,1.0,0.46576048,1.5,0.69864073,5.75,2.6781228,0.0,0.0,0.0,0.0,0.0,0.0,105.0,48.9048511,1.0,0.46576048,25.03,11.6579849,22.11,10.2979643,0.0,0.0,4.0,1.86304194,7.0,3.26032341,8.14,3.79129036,0.0,0.0,0.0,0.0,1.0,0.46576048,0.0,0.00775193,0.52713178,0.4496124,0.01550387,0.0,0.0,0.8,0.2,0.0
Coldwater Exempted Village,13819483.07,Mercer,95.1,61449.0,18.0,0.0,90.0,89.0,98.9,77.0,85.6,499.0,499.0,100.0,499.0,100.0,0.0,0.0,1.0,1.0,2.5,1.92800729,1.0,0.77120291,0.0,0.0,0.0,0.0,1.71,1.31875699,0.0,0.0,0.0,0.0,0.0,0.0,65.87,50.7991362,5.0,3.85601459,13.26,10.2261507,4.77,3.67863792,0.0,0.0,3.0,2.31360875,3.0,2.31360875,2.0,1.54240583,0.0,0.0,0.0,0.0,1.0,0.77120291,0.0,0.0,0.64772727,0.35227272,0.0,0.0,0.0,1.0,0.0,0.0
Columbiana Exempted Village,9642834.84,Columbiana,95.3,49969.0,10.0,2.0,68.0,68.0,100.0,38.0,55.5,343.0,339.0,98.8,339.0,98.8,0.0,0.0,1.0,1.0,2.0,1.93198252,3.08,2.97525309,0.0,0.0,0.0,0.0,1.73,1.67116488,0.0,0.0,0.0,0.0,0.0,0.0,48.34,46.6960177,0.0,0.0,13.18,12.7317648,14.25,13.7653755,1.0,0.96599126,3.0,2.89797379,3.0,2.89797379,4.0,3.86396505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02816901,0.46478873,0.50704225,0.0,0.0,0.0,0.6,0.4,0.0
Covington Exempted Village,8774730.28,Miami,96.1,53652.0,13.0,1.0,55.0,55.0,100.0,30.0,53.9,302.0,301.0,99.7,301.0,99.7,0.0,0.0,1.0,1.0,1.5,1.5,1.0,1.0,0.5,0.5,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,39.25,39.25,0.0,0.0,9.76,9.76,6.0,6.0,0.0,0.0,2.0,2.0,5.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,0.73,0.73,0.0,0.0,0.16666666,0.81481481,0.01851851,0.0,0.0,0.0,1.0,0.0
Crestline Exempted Village,7510934.4,Crawford,94.0,46107.0,15.0,0.0,46.0,46.0,100.0,27.0,59.6,309.0,309.0,100.0,309.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,32.04,32.04,0.0,0.0,4.27,4.27,8.6,8.6,0.0,0.0,2.5,2.5,3.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.06976744,0.53488372,0.39534883,0.0,0.0,0.0,0.5,0.5,0.0
Crooksville Exempted Village,12156796.68,Perry,94.2,53129.0,15.0,0.0,67.0,67.0,100.0,36.0,54.6,289.0,289.0,100.0,289.0,100.0,0.0,0.0,1.0,1.0,1.0,0.90853547,1.0,0.90853547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.63,45.9991509,0.0,0.0,6.75,6.13261444,3.0,2.72560641,0.0,0.0,2.5,2.27133868,2.0,1.81707094,3.0,2.72560641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02816901,0.57746478,0.33802816,0.05633802,0.0,0.0,1.0,0.0,0.0
Fairport Harbor Exempted Village,7314863.92,Lake,91.6,55221.0,10.0,0.0,38.0,38.0,100.0,23.0,60.4,215.0,164.0,76.3,164.0,76.3,0.0,0.0,1.0,1.0,1.0,1.0,0.57,0.57,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,0.0,0.0,3.16,3.16,3.8,3.8,0.0,0.0,1.0,1.0,1.25,1.25,1.4,1.4,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.04651162,0.39534883,0.55813953,0.0,0.0,0.66666666,0.33333333,0.0,0.0
Georgetown Exempted Village,9838482.52,Brown,96.3,47280.0,11.0,4.0,67.0,67.0,100.0,38.0,56.5,306.0,298.0,97.4,298.0,97.4,0.0,0.0,1.0,1.0,1.0,0.97985744,1.0,0.97985744,0.0,0.0,0.0,0.0,1.0,0.97985744,0.0,0.0,0.0,0.0,0.0,0.0,51.6,50.5606443,3.0,2.93957234,8.13,7.96624105,1.13,1.10723891,0.0,0.0,4.0,3.91942979,3.03,2.96896806,4.0,3.91942979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5625,0.390625,0.046875,0.0,0.0,0.0,1.0,0.0
Gibsonburg Exempted Village,9108646.87,Sandusky,95.4,56401.0,13.0,0.0,58.0,56.0,96.5,37.0,63.9,323.0,323.0,100.0,323.0,100.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45.9,45.9,1.0,1.0,6.0,6.0,14.0,14.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.20689655,0.75862069,0.03448275,0.0,0.0,0.0,0.33333333,0.66666666
Granville Exempted Village,30669782.759999998,Licking,93.1,66410.0,13.0,5.0,147.0,147.0,100.0,118.0,80.2,720.0,720.0,100.0,720.0,100.0,0.0,0.0,1.0,1.0,6.0,2.5011597,3.0,1.25057985,2.0,0.8337199,0.0,0.0,4.0,1.6674398,0.0,0.0,2.5,1.04214987,0.0,0.0,112.08,46.7216633,1.5,0.62528992,17.39,7.24919454,13.5,5.62760934,1.0,0.41685995,7.0,2.91801965,7.3,3.04307764,4.0,1.6674398,1.0,0.41685995,0.0,0.0,2.0,0.8337199,0.0,0.02649006,0.42384106,0.54304635,0.00662251,0.0,0.0,0.5,0.5,0.0
Greenfield Exempted Village,22892189.95,Highland,96.4,51531.0,13.0,0.0,128.0,128.0,100.0,72.0,56.3,593.0,588.0,99.2,560.0,94.4,0.0,0.0,1.0,1.0,3.0,1.52565397,1.0,0.50855132,1.0,0.50855132,0.0,0.0,4.0,2.0342053,0.0,0.0,0.0,0.0,2.0,1.01710265,99.0,50.3465812,3.0,1.52565397,18.12,9.21495002,38.0,19.3249503,1.0,0.50855132,4.0,2.0342053,4.0,2.0342053,4.0,2.0342053,0.0,0.0,0.0,0.0,1.0,0.50855132,0.0,0.024,0.496,0.48,0.0,0.0,0.0,0.0,1.0,0.0
Hicksville Exempted Village,10213400.33,Defiance,92.1,56582.0,16.0,0.0,70.0,69.0,98.6,36.0,52.0,492.0,492.0,100.0,486.0,98.8,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,53.38,53.38,1.0,1.0,13.46,13.46,6.14,6.14,0.0,0.0,2.0,2.0,2.0,2.0,4.1,4.1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.18032786,0.81967213,0.0,0.0,0.0,0.0,1.0,0.0
Hubbard Exempted Village,17628835.5,Trumbull,94.7,54326.0,14.0,0.0,103.0,103.0,100.0,72.0,69.9,448.0,448.0,100.0,445.0,99.3,0.0,0.0,0.67,0.67,4.0,2.08318243,2.0,1.04159121,1.0,0.52079561,0.0,0.0,2.0,1.04159121,0.0,0.0,0.0,0.0,0.0,0.0,87.5,45.5696158,0.0,0.0,8.78,4.57258545,14.65,7.62965568,1.0,0.52079561,3.5,1.82278463,3.0,1.56238682,4.0,2.08318243,0.0,0.0,0.0,0.0,1.0,0.52079561,0.0,0.0,0.36936936,0.63063063,0.0,0.0,0.0,0.4,0.6,0.0
Indian Hill Exempted Village,33852866.73,Hamilton,96.4,77110.0,11.0,4.0,159.0,159.0,100.0,148.0,93.0,678.0,670.0,98.8,670.0,98.8,0.0,0.0,1.0,1.0,9.36,4.85161041,6.0,3.11000667,2.0,1.03666889,0.0,0.0,7.3,3.78384145,0.0,0.0,0.0,0.0,0.0,0.0,122.98,63.7447701,0.0,0.0,14.87,7.7076332,23.75,12.310443,3.0,1.55500333,7.55,3.91342506,9.84,5.10041094,8.0,4.14667556,0.0,0.0,0.0,0.0,1.66,0.86043518,0.0,0.0,0.16352201,0.83647798,0.0,0.0,0.0,0.16666666,0.83333333,0.0
Leetonia Exempted Village,7644059.16,Columbiana,94.2,49583.0,19.0,0.0,47.0,47.0,100.0,31.0,65.2,202.0,200.0,99.0,200.0,99.9,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,0.0,0.0,12.61,12.61,5.0,5.0,0.4,0.4,3.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18604651,0.81395348,0.0,0.0,0.0,1.0,0.0,0.0
Lisbon Exempted Village,8896988.559999999,Columbiana,93.6,53223.0,16.0,2.0,60.0,60.0,100.0,36.0,60.4,392.0,389.0,99.2,389.0,99.2,0.0,0.0,1.0,1.0,1.0,1.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.98,42.98,0.0,0.0,9.91,9.91,1.5,1.5,1.0,1.0,2.0,2.0,2.25,2.25,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26415094,0.73584905,0.0,0.0,0.0,0.0,1.0,0.0
Loudonville-Perrysville Exempted Village,12107931.99,Ashland,95.5,50292.0,14.0,0.0,80.0,80.0,100.0,50.0,62.5,348.0,344.0,98.9,344.0,98.9,0.0,0.0,1.0,1.0,1.99,1.80060386,0.0,0.0,0.0,0.0,0.0,0.0,3.79,3.42929078,0.0,0.0,0.0,0.0,0.0,0.0,55.59,50.2992808,1.0,0.90482606,14.0,12.6675648,10.42,9.42828757,1.0,0.90482606,3.5,3.16689122,3.0,2.71447819,5.5,4.97654334,0.0,0.0,0.0,0.0,1.0,0.90482606,0.0,0.025,0.4625,0.4875,0.025,0.0,0.0,0.8,0.2,0.0
Marysville Exempted Village,50102900.72,Union,95.5,62463.0,9.0,15.0,298.0,298.0,100.0,215.0,72.3,1175.0,1172.0,99.7,1169.0,99.5,0.0,0.0,1.0,1.0,13.0,2.6219104,7.5,1.51264061,5.0,1.00842707,1.0,0.20168541,11.5,2.31938227,0.0,0.0,2.0,0.40337083,0.0,0.0,207.12,41.7730832,4.0,0.80674166,65.55,13.2204789,42.0,8.47078744,0.0,0.0,9.0,1.81516873,11.84,2.38795531,10.0,2.01685415,0.0,0.0,0.0,0.0,8.0,1.61348332,0.0,0.00645161,0.26129032,0.7032258,0.02903225,0.0,0.0,0.38461538,0.61538461,0.0
Mechanicsburg Exempted Village,7856087.74,Champaign,95.9,50708.0,16.0,0.0,57.0,57.0,100.0,33.0,58.0,256.0,249.0,97.3,249.0,97.3,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.81,42.81,0.06,0.06,9.07,9.07,0.0,0.0,0.75,0.75,2.0,2.0,2.75,2.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07272727,0.61818181,0.27272727,0.03636363,0.0,0.33333333,0.33333333,0.33333333,0.0
Mentor Exempted Village,95728079.41,Lake,94.2,70449.0,14.0,18.0,473.0,471.0,99.6,365.0,77.1,2315.0,2301.0,99.4,2294.0,99.1,0.0,0.0,1.0,1.0,15.2,2.00631474,8.0,1.05595513,9.0,1.18794952,0.0,0.0,6.0,0.79196634,0.0,0.0,5.8,0.76556747,1.0,0.13199439,325.6,42.9773738,13.1,1.72912652,59.83,7.89722443,129.0,17.0272764,6.6,0.87116298,19.0,2.50789343,22.0,2.9038766,25.0,3.29985978,1.0,0.13199439,0.0,0.0,9.0,1.18794952,0.0,0.0086393,0.3174946,0.63066954,0.04319654,0.0,0.0,0.0,1.0,0.0
Milford Exempted Village,64682973.28,Clermont,95.6,64793.0,12.0,11.0,364.0,363.0,99.7,280.0,76.9,1808.0,1808.0,100.0,1808.0,100.0,0.0,0.0,1.0,1.0,7.0,1.09828896,1.0,0.15689842,8.0,1.25518739,0.0,0.0,2.0,0.31379684,0.0,0.0,0.0,0.0,0.0,0.0,269.0,42.205676,0.0,0.0,61.96,9.72142635,48.21,7.56407302,2.0,0.31379684,12.0,1.88278108,13.0,2.03967951,11.0,1.72588266,0.0,0.0,0.0,0.0,7.34,1.15163443,0.0,0.0,0.53825136,0.44535519,0.01639344,0.0,0.0,0.375,0.5625,0.0625
Milton-Union Exempted Village,13530543.51,Miami,94.5,59615.0,18.0,3.0,90.0,90.0,100.0,57.0,64.1,390.0,390.0,100.0,390.0,100.0,0.0,0.0,1.0,1.0,4.0,2.83546765,1.0,0.70886691,1.0,0.70886691,0.0,0.0,1.0,0.70886691,0.0,0.0,0.0,0.0,1.7,1.20507375,68.18,48.3305462,0.66,0.46785216,13.58,9.6264127,0.0,0.0,0.8,0.56709353,3.17,2.24710812,3.0,2.12660074,4.0,2.83546765,0.0,0.0,0.0,0.0,1.0,0.70886691,0.0,0.07228915,0.27710843,0.63855421,0.01204819,0.0,0.33333333,0.33333333,0.33333333,0.0
Montpelier Exempted Village,9813529.18,Williams,96.0,45174.0,10.0,0.0,64.0,64.0,100.0,35.0,54.7,457.0,440.0,96.3,416.0,99.1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,1.0,1.0,7.2,7.2,5.0,5.0,1.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01587301,0.28571428,0.69841269,0.0,0.0,0.0,0.0,1.0,0.0
