District,OperatingExpenditures,County,Address,Superintendent,Prepared for Success Component Grade,Prepared for Success Percent,Number of Students Earning 1 Point,Number of Students Earning Bonus (0.3) Point,Honors Diploma Percent,Percent ACT/SAT Remediation Free,Percent Earning Industry Recognized Credentials,Percent Scoring 3+ on AP Test,Percent Scoring 4+ on IB Test,Percent Earning 3+ Dual Enrollment Credits
Fairborn City,37509296.11,Greene,"Fairborn, OH, 45324-5313",Mark O. North,D,36.2,158,90,14.5,22.9,3.7,13.1,0.0,19.4
Fairview Park City,22765416.799999997,Cuyahoga,"Fairview Park, OH, 44126-3047",William W. Wagner,C,53.4,131,71,20.4,29.8,12.3,16.5,0.0,25.6
Findlay City,63444881.57,Hancock,"Findlay, OH, 45840-2749",Edward P. Kurt,C,56.9,362,133,27.6,42.6,9.2,3.8,0.0,23.7
Fostoria City,18969649.79,Seneca,"Fostoria, OH, 44830-1455",Andrew R. Sprang,D,27.3,61,25,4.8,10.0,13.9,0.0,0.0,16.7
Franklin City,30895623.97,Warren,"Franklin, OH, 45005-2559",Michael D. Sander,D,34.3,115,60,16.2,12.9,8.2,3.9,0.0,25.0
Fremont City,41895543.01,Sandusky,"Fremont, OH, 43420-2572",Jon C. Detwiler,D,35.0,176,65,7.7,17.5,13.2,5.9,0.0,13.8
Galion City,19021559.84,Crawford,"Galion, OH, 44833-1115",James M. Grubbs,D,32.4,82,23,9.9,21.2,8.4,0.0,0.0,10.2
Gallipolis City,20551742.67,Gallia,"Gallipolis, OH, 45631-1131",Craig D. Wright,D,39.4,106,33,10.9,29.9,5.1,6.1,0.0,8.5
Garfield Heights City Schools,41076685.3,Cuyahoga,"Garfield Heights, OH, 44125-4158",Terrance S. Olszewski,F,14.7,88,24,6.3,7.3,4.5,2.0,0.0,3.4
Geneva Area City,22299926.89,Ashtabula,"Geneva, OH, 44041-1513",Eric M. Kujala,D,28.8,112,13,20.1,20.9,2.0,0.5,0.0,4.0
Girard City School District,16530205.04,Trumbull,"Girard, OH, 44420-2598",David M. Cappuzzello,D,31.4,64,47,8.8,23.7,2.0,1.6,0.0,27.3
Grandview Heights Schools,17043664.55,Franklin,"Columbus, OH, 43212-2825",Andrew K. Culp,B,70.7,101,31,21.2,64.1,0.6,20.5,0.0,0.6
Winton Woods City,48218736.730000004,Hamilton,"Cincinnati, OH, 45240-1617",Anthony G. Smith,F,21.0,112,52,5.6,12.5,5.1,5.6,0.0,7.6
Greenville City,25346553.96,Darke,"Greenville, OH, 45331-1423",Douglas W. Fries,D,30.1,112,70,11.3,16.7,9.7,7.2,0.0,17.9
Hamilton City,103231121.75999999,Butler,"Hamilton, OH, 45012-0627",Anthony T. Orr,F,22.8,234,91,4.9,15.0,5.4,8.4,0.0,3.3
Heath City,16876288.04,Licking,"Heath, OH, 43056-1220",Trevor R. Thomas,D,40.0,87,58,15.7,26.8,5.7,11.1,0.0,23.8
Hillsboro City,25602931.98,Highland,"Hillsboro, OH, 45133-8277",Brian T. Davis,D,29.6,105,56,13.1,20.1,4.6,12.9,0.0,10.0
Huron City Schools,14315647.4,Erie,"Huron, OH, 44839-1871",Dennis M. Muratori,C,60.0,121,109,27.0,44.5,1.6,15.2,0.0,56.6
Ironton City,14639634.35,Lawrence,"Ironton, OH, 45638-1426",William D. Nance,D,29.4,56,12,14.8,19.7,3.4,3.4,0.0,3.4
Jackson City,24613610.060000002,Jackson,"Jackson, OH, 45640-1944",Phillip R. Howard,D,33.7,101,39,15.9,23.1,5.7,12.0,0.0,6.9
Kent City,44916350.089999996,Portage,"Kent, OH, 44240-2514",George J. Joseph,D,39.6,200,104,16.4,30.8,1.9,15.6,0.0,22.1
Kenton City,21088806.08,Hardin,"Kenton, OH, 43326-1202",Jennifer M. Penczarski,D,29.0,66,50,9.7,18.6,3.9,0.0,0.0,24.7
Kettering City School District,95244059.28999999,Montgomery,"Kettering, OH, 45429-2506",L Scott S. Inskeep,C,46.3,408,328,18.5,33.9,2.7,22.7,3.0,33.9
Lakewood City,69918429.67,Cuyahoga,"Lakewood, OH, 44107-3918",Jeffrey W. Patterson,D,44.4,289,138,18.4,29.3,9.4,17.2,0.0,7.8
Lancaster City,64220686.57,Fairfield,"Lancaster, OH, 43130-3166",Steven M. Wigton,D,38.1,264,204,11.5,23.5,6.9,4.9,0.0,40.4
Lebanon City,47465169.72,Warren,"Lebanon, OH, 45036-1648",Todd Yohey,C,50.5,360,205,21.9,34.0,4.3,19.6,0.0,15.7
Lima City,47970835.23,Allen,"Lima, OH, 45804-1552",Jill A. Ackerman,F,11.5,51,18,0.0,4.9,5.7,0.0,0.0,11.0
Lockland Local,6652833.15,Hamilton,"Cincinnati, OH, 45215-3011",Frederick T. Jebens,F,16.8,17,0,9.9,6.9,5.9,0.0,0.0,0.0
Logan-Hocking Local,39726561.730000004,Hocking,"Logan, OH, 43138",Monte D. Bainter II,D,30.0,146,120,15.0,18.0,2.1,12.0,0.0,35.1
London City,19408107.25,Madison,"London, OH, 43140-9220",Louis A. Kramer,D,40.0,81,37,14.3,27.8,3.9,15.7,0.0,3.0
Lorain City,84770639.87,Lorain,"Lorain, OH, 44052-4301",Jeffrey M. Graham,F,4.1,40,13,3.0,1.1,0.0,0.0,0.0,22.2
Loveland City,47288274.25,Hamilton,"Loveland, OH, 45140-9308",Amy C. Crouse,C,68.4,397,243,39.9,54.9,1.0,33.2,0.0,14.0
Madeira City,18208038.990000002,Hamilton,"Cincinnati, OH, 45243-1851",Kenji Matsudo,A,96.7,163,143,49.8,72.8,2.3,63.8,0.0,45.1
Mansfield City,47447347.730000004,Richland,"Mansfield, OH, 44901-1448",Brian K. Garverick,F,10.6,36,24,3.2,8.4,0.5,0.2,0.0,10.6
Maple Heights City,41781533.480000004,Cuyahoga,"Maple Heights, OH, 44137-3870",Charles T. Keenan,F,5.6,29,2,2.5,3.4,0.2,0.4,0.0,0.0
Mariemont City,21616655.47,Hamilton,"Cincinnati, OH, 45227-3600",Steven E. Estepp,A,93.2,175,128,38.4,73.8,2.2,56.3,0.0,12.2
Marietta City,26001922.410000004,Washington,"Marietta, OH, 45750-8053",William T. Hampton,D,43.7,173,95,17.1,25.6,10.6,9.8,0.0,19.7
Marion City,55309512.510000005,Marion,"Marion, OH, 43302-5173",Stephen P. Fujii,D,25.9,108,60,5.1,13.3,8.4,6.2,0.0,25.1
Martins Ferry City,14139268.120000001,Belmont,"Martins Ferry, OH, 43935-1588",James Fogle,F,22.6,45,2,7.4,19.3,1.0,1.0,0.0,0.0
Massillon City,42162395.03,Stark,"Massillon, OH, 44646-4853",Richard D. Goodright,D,32.2,159,95,10.5,13.6,13.2,9.8,0.0,22.3
Maumee City,30657579.259999998,Lucas,"Maumee, OH, 43537-3602",Todd M. Cramer,C,45.4,152,84,14.1,34.1,3.3,20.5,0.0,15.1
Mayfield City,60282524.660000004,Cuyahoga,"Mayfield Heights, OH, 44124-2006",KEITH W. KELLY,C,53.0,298,208,22.2,39.9,2.9,34.9,0.0,2.8
Medina City SD,76149631.44,Medina,"Medina, OH, 44256-2037",Aaron J. Sable,C,61.6,584,336,27.0,44.6,6.8,21.8,0.0,20.3
Miamisburg City,55689149.120000005,Montgomery,"Miamisburg, OH, 45342-2854",David S. Vail,D,43.3,282,145,21.6,32.6,3.3,16.2,0.0,15.8
Middletown City,61401991.14,Butler,"Middletown, OH, 45042-1932",Marlon J. Styles,F,20.7,126,68,9.5,11.8,3.1,2.4,0.0,14.2
Mt Healthy City,36027144.129999995,Hamilton,"Cincinnati, OH, 45231-3107",Reva C. Cosby,F,10.8,49,2,2.0,4.8,4.8,0.4,0.0,0.2
Mount Vernon City,39142002.25,Knox,"Mount Vernon, OH, 43050-4510",William D. Seder,D,41.1,191,125,19.1,27.7,5.8,7.9,0.0,27.9
Napoleon Area City,19767843.58,Henry,"Napoleon, OH, 43545-1251",Stephen R. Fogo,D,41.7,130,43,15.5,31.5,5.8,12.8,0.0,4.7
Nelsonville-York City,14129148.85,Athens,"Nelsonville, OH, 45764-9591",Charles D. McClelland,F,16.3,30,2,7.4,12.8,1.1,0.0,0.0,2.7
Newark City,65042525.769999996,Licking,"Newark, OH, 43055-4615",Douglas C. Ute,D,29.8,174,85,11.4,19.0,5.5,11.7,0.0,8.4
New Boston Local,4597585.5600000005,Scioto,"New Boston, OH, 45662",Melinda M. Burnside,D,26.0,15,2,20.0,3.3,5.0,1.7,0.0,3.3
New Lexington School District,22083745.060000002,Perry,"New Lexington, OH, 43764-0630",Casey H. Coffey,F,10.1,22,9,6.1,3.3,2.0,2.9,0.0,12.3
New Philadelphia City,29092618.05,Tuscarawas,"New Philadelphia, OH, 44663-2150",David J. Brand,C,46.5,166,128,18.6,30.9,4.8,23.4,0.0,26.1
Niles City,25218788.16,Trumbull,"Niles, OH, 44446-3821",Ann Marie A. Thigpen,D,27.9,86,55,13.6,17.1,4.3,1.9,0.0,18.2
North Canton City,44712188.54,Stark,"North Canton, OH, 44720-2012",Jeff S. Wendorf,B,74.2,440,311,50.8,51.3,1.7,40.5,0.1,20.4
North College Hill City,14714714.56,Hamilton,"Cincinnati, OH, 45239-4844",Eugene E. Blalock,F,18.9,35,9,3.5,10.1,7.5,0.0,0.0,12.1
North Olmsted City,56636536.91,Cuyahoga,"North Olmsted, OH, 44070-3154",Michael E. Zalar,C,47.9,278,107,21.6,25.9,11.4,15.9,0.0,10.0
North Ridgeville City,37478078.9,Lorain,"North Ridgeville, OH, 44039-2339",James E. Powell,D,27.9,153,44,11.1,19.3,3.4,0.0,0.0,11.9
North Royalton City,47947628.75,Cuyahoga,"North Royalton, OH, 44133-4925",Gregory J. Gurka,C,65.2,432,262,33.8,51.6,3.6,28.6,0.0,13.8
Norton City,23617990.07,Summit,"Norton, OH, 44203-5633",Dana W. Addis,C,45.8,149,97,19.5,31.1,5.4,7.5,0.0,27.5
Norwalk City,25806416.13,Huron,"Norwalk, OH, 44857-2349",George E. Fisk,D,39.9,143,70,15.1,27.3,7.3,9.2,0.0,15.3
Norwood City,26103989.029999997,Hamilton,"Norwood, OH, 45212-3806",Katherine S. Sabo,F,22.6,60,15,11.2,15.1,3.9,4.9,0.0,2.1
Oakwood City,26219566.540000003,Montgomery,"Dayton, OH, 45409-2239",KYLE B. RAMEY,A,98.3,282,227,45.2,78.9,0.0,53.9,0.0,44.9
Oberlin City Schools,13423666.98,Lorain,"Oberlin, OH, 44074-1173",David H. Hall,C,46.5,69,55,20.7,33.2,2.7,0.0,44.0,3.3
Oregon City,41791200.77,Lucas,"Oregon, OH, 43616-2631",Hal D. Gregory,D,30.9,164,33,14.2,27.2,0.2,4.1,0.0,5.3
Orrville City,15909196.870000001,Wayne,"Orrville, OH, 44667-1154",James J. Ritchie,D,43.3,82,54,6.6,28.2,7.0,0.0,0.0,31.3
Painesville City Local,35527285.94,Lake,"Painesville, OH, 44077-3114",John T. Shepard,F,12.3,46,13,5.4,7.2,2.7,0.5,0.0,5.7
Parma City,142678744.78,Cuyahoga,"Parma, OH, 44134-0932",Carl H. Hilling,D,36.4,572,316,16.1,23.8,5.1,14.5,0.0,11.0
Piqua City,36696724.129999995,Miami,"Piqua, OH, 45356-2411",Dwayne A. Thompson,D,29.9,148,65,12.7,18.5,5.2,10.3,0.0,8.0
Port Clinton City,20562903.79,Ottawa,"Port Clinton, OH, 43452-2415",Patrick D. Adkins,D,34.2,83,54,11.7,22.4,4.8,3.4,0.0,25.2
Portsmouth City,22754598.12,Scioto,"Portsmouth, OH, 45662-4113",Gary S. Dutey,F,23.3,44,36,8.9,15.3,1.7,2.6,0.0,30.6
Princeton City,73037440.54,Hamilton,"Cincinnati, OH, 45241-1616",Thomas S. Tucker,F,23.6,148,85,6.9,14.7,4.8,13.5,12.1,0.4
Ravenna City,26833214.47,Portage,"Ravenna, OH, 44266-3257",Dennis M. Honkala,D,25.1,96,41,6.3,17.4,5.1,2.1,0.0,10.2
Reading Community City,16333090.079999998,Hamilton,"Reading, OH, 45215-3322",Charles R. Lafata,D,29.6,54,38,7.2,19.9,4.5,6.3,0.0,32.6
Rocky River City,36149479.98,Cuyahoga,"Rocky River, OH, 44116-1439",Michael G. Shoaf,B,87.3,294,251,40.7,66.9,0.7,43.0,0.0,57.2
St Bernard-Elmwood Place City,12211613.85,Hamilton,"Saint Bernard, OH, 45217-1317",Mary Eleanor E. Webb,F,16.2,25,2,1.9,5.7,10.1,0.6,0.0,3.2
St Marys City,20493622.45,Auglaize,"Saint Marys, OH, 45885-2312",Howard A. Overman,D,28.4,79,34,10.2,24.2,0.3,0.0,0.0,12.4
Salem City,19079260.4,Columbiana,"Salem, OH, 44460-2222",Joseph A. Shivers,D,31.9,87,42,20.2,17.6,1.0,7.7,0.0,12.5
Sandusky City,43597292.65,Erie,"Sandusky, OH, 44870-2442",Eugene T. Sanders,F,21.6,73,57,9.1,13.4,2.4,4.8,0.0,26.8
Shaker Heights City,89332545.37,Cuyahoga,"Shaker Heights, OH, 44120-2529",Gregory C. Hutchings,C,53.7,382,304,21.3,42.5,0.9,35.0,14.1,1.8
Sheffield-Sheffield Lake City,18678506.21,Lorain,"Sheffield Village, OH, 44054-2628",Michael F. Cook,D,40.5,95,57,21.3,26.4,4.3,5.1,0.0,31.4
Shelby City,19314511.23,Richland,"Shelby, OH, 44875-1576",Timothy S. Tarvin,D,42.1,104,49,17.0,27.3,8.9,3.9,0.0,23.4
Sidney City,31804562.54,Shelby,"Sidney, OH, 45365-1163",John F. Scheu,D,31.3,132,113,15.5,16.8,4.0,4.7,0.0,46.4
South Euclid-Lyndhurst City,55778575.79,Cuyahoga,"Lyndhurst, OH, 44124-2605",Linda N. Reid,F,23.2,136,71,10.9,15.7,3.5,12.9,0.0,2.5
South-Western City,233375619.28,Franklin,"Grove City, OH, 43123-9224",William H. Wise,D,28.0,706,442,9.9,13.0,6.9,12.0,0.0,16.9
Springfield City School District,94220226.1,Clark,"Springfield, OH, 45506-1224",Robert F. Hill,F,18.2,153,82,6.8,10.3,4.5,6.3,7.3,3.9
Steubenville City,25643953.759999998,Jefferson,"Steubenville, OH, 43952-5189",Melinda M. Young,D,26.7,63,56,18.4,12.7,1.3,0.0,0.0,45.2
Stow-Munroe Falls City School District,57142899.72,Summit,"Stow, OH, 44224-1032",Thomas P. Bratten,C,56.6,409,295,26.6,43.1,1.7,36.1,0.0,10.9
Strongsville City,68113829.0,Cuyahoga,"Strongsville, OH, 44136-5216",Cameron M. Ryba,C,61.8,559,329,23.7,45.4,6.4,25.4,0.0,17.7
Struthers City,20118842.39,Mahoning,"Struthers, OH, 44471-1831",Peter J. Pirone,D,29.1,68,49,7.4,19.7,3.5,12.7,0.0,31.0
Sycamore Community City,73491992.02,Hamilton,"Blue Ash, OH, 45242-6240",Frank A. Forsthoefel,B,79.4,525,380,35.8,62.6,1.2,48.4,0.0,5.2
Sylvania Schools,85077476.10000001,Lucas,"Sylvania, OH, 43560-2116",Adam D. Fineske,C,62.9,588,462,26.1,46.6,4.2,31.0,0.0,40.1
Tallmadge City,27105904.9,Summit,"Tallmadge, OH, 44278-2000",Jeffrey M. Ferguson,C,59.2,199,124,30.3,44.1,2.5,26.6,0.0,20.6
Tiffin City,21384484.77,Seneca,"Tiffin, OH, 44883-2906",Gary A. Barber,C,58.1,193,114,16.6,34.0,17.6,22.5,0.0,23.3
Toledo City,309748363.38,Lucas,"Toledo, OH, 43604-1806",Romules L. Durant,F,11.0,261,118,3.0,8.3,0.4,1.0,0.0,6.9
Toronto City,7867544.6899999995,Jefferson,"Toronto, OH, 43964-1952",Maureen R. Taggart,F,16.4,16,11,5.9,11.0,2.5,0.0,0.0,18.6
Troy City,44669107.11,Miami,"Troy, OH, 45373-1418",Eric J. Herman,C,47.2,276,168,22.0,34.7,4.0,15.5,0.0,25.0
Upper Arlington City,86780285.41,Franklin,"Upper Arlington, OH, 43221-4398",Paul W. Imhoff,A,95.2,652,533,35.9,75.6,0.2,58.1,27.1,2.6
Urbana City,22479231.64,Champaign,"Urbana, OH, 43078-1498",Charles B. Thiel,D,32.8,64,35,6.2,22.9,5.3,16.3,0.0,5.3
Vandalia-Butler City,30783642.159999996,Montgomery,"Vandalia, OH, 45377-2128",Robert M. O'Leary,C,50.9,230,107,29.1,37.9,1.9,15.0,0.0,15.5
Van Wert City,21569658.35,Van Wert,"Van Wert, OH, 45891-1903",Staci A. Kaufman,C,48.1,111,36,11.1,32.8,11.1,14.6,0.0,0.4
Wadsworth City,43193824.43,Medina,"Wadsworth, OH, 44281-2306",Andrew J. Hill,C,61.4,383,251,30.3,47.1,4.0,22.0,0.0,27.1
Wapakoneta City,25004203.19,Auglaize,"Wapakoneta, OH, 45895-1063",Keith W. Horner,C,45.6,176,87,23.5,34.1,2.9,16.5,0.0,12.9
Warren City,65573706.68000001,Trumbull,"Warren, OH, 44481",Stephen G. Chiaro,F,18.1,105,48,7.7,10.8,3.0,4.8,0.0,9.4
Warrensville Heights City,28024188.57,Cuyahoga,"Warrensville Heights, OH, 44128-4134",Donald J. Jolly,F,3.3,6,1,0.0,0.5,2.6,0.0,0.0,9.4
Washington Court House City,19911188.439999998,Fayette,"Washington Court Hou, OH, 43160-1819",Thomas S. Bailey,D,29.4,82,48,14.0,21.6,2.1,3.4,0.0,20.4
Wellston City,18764504.12,Jackson,"Wellston, OH, 45692-1225",Karen P. Boch,D,29.7,68,13,21.9,12.8,2.9,2.1,0.0,4.5
Wellsville Local,9521116.07,Columbiana,"Wellsville, OH, 43968-1423",Richard E. Bereschik,F,23.1,23,8,13.6,7.3,5.5,0.0,0.0,13.6
Westerville City,159467351.9,Franklin,"Westerville, OH, 43081-3319",John R. Kellogg,C,51.1,963,592,21.0,41.1,1.3,25.5,6.2,2.0
West Carrollton City,42750311.45,Montgomery,"West Carrollton, OH, 45449-1357",Andrea Townsend,F,19.0,78,38,6.8,11.0,2.8,3.4,0.0,13.4
Westlake City,49153920.05,Cuyahoga,"Westlake, OH, 44145-3518",Scott E. Goggin,B,71.4,381,274,41.6,55.8,0.9,40.2,0.0,12.9
Whitehall City,37059117.72,Franklin,"Whitehall, OH, 43213-2861",Brian D. Hamler,F,16.9,54,17,3.4,10.6,4.6,2.3,0.0,6.3
Wickliffe City,18894909.2,Lake,"Wickliffe, OH, 44092-2020",Joseph G. Spiccia,D,28.6,58,30,16.7,16.7,3.8,6.4,0.0,20.5
Willard City,17596451.07,Huron,"Willard, OH, 44890-1425",Jeffery R. Ritz,D,32.8,63,39,11.8,19.7,5.7,6.1,0.0,19.7
Willoughby-Eastlake City,90930675.19,Lake,"Willoughby, OH, 44094-4130",Stephen L. Thompson,D,31.4,362,243,11.9,23.4,0.9,12.6,0.0,17.7
Wilmington City,25552789.61,Clinton,"Wilmington, OH, 45177-2034",Melinda A. Mccarty-Stewart,D,30.8,111,71,15.4,21.0,3.3,7.2,0.0,19.8
Wooster City,40050147.68,Wayne,"Wooster, OH, 44691-4810",Michael L. Tefs,C,46.8,236,135,9.1,36.5,3.2,20.6,3.4,1.9
Worthington City,127956685.28,Franklin,"Worthington, OH, 43085-2332",Trent H. Bowers,C,63.7,711,460,25.2,51.1,1.4,28.7,2.6,23.3
Wyoming City,25506628.76,Hamilton,"Wyoming, OH, 45215-4298",Susan K. Lang,A,91.8,224,211,55.0,68.1,0.3,78.3,0.0,2.2
Xenia Community City,47180181.11,Greene,"Xenia, OH, 45385-4859",Christy L. Fielding,D,33.5,192,67,7.3,20.2,8.8,2.8,0.0,14.1
