District,OperatingExpenditures,County,Address,"City, State, Zip",Superintendent,K3 Literacy Grade,K3 Literacy Percent,Total Students Off Track Point A,Total Students Moved to On Track Point B,RIMP Deductions,Current Year % of Kindergarteners Not on Track,Students Off Track Year 1,Students Moved to On Track Year 1,Students Off Track Year 2,Students Moved to On Track Year 2,Students off Track Year 3,Students Moved to On Track Year 3,Students Off Track  Year 4,Students Moved to On Track Year 4,% of 3rd Graders Meeting 3rd Grade Reading Guarantee
Centerville City,96893237.04,Montgomery,111 Virginia Ave,"Centerville, OH, 45458-2249",Thomas J. Henderson,C,43.6,422,184,NC,18.6,97,49,92,22,152,94,81,19,99.6
Chillicothe City,29422533.759999998,Ross,425 Yoctangee Pkwy,"Chillicothe, OH, 45601-1663",Jon C. Saxton,C,32.8,241,79,NC,58.8,NC,NC,NC,NC,NC,NC,NC,NC,92.2
Cincinnati City,487463112.19000006,Hamilton,PO Box 5381,"Cincinnati, OH, 45201-5381",Catherine L. Mitchell,C,30.5,2121,646,78,40.0,468,223,392,165,457,155,804,181,96.2
Circleville City,23635403.53,Pickaway,388 Clark Dr,"Circleville, OH, 43113-1517",Jonathan E. Davis,A,78.9,90,71,NC,24.1,NC,NC,NC,NC,NC,NC,NC,NC,98.7
Claymont City,21954703.8,Tuscarawas,201 N 3rd St,"Dennison, OH, 44621-1237",John A. Rocchi,C,30.9,285,88,NC,58.2,71,18,75,27,67,14,72,30,96.2
Cleveland Municipal,652259963.12,Cuyahoga,1111 Superior Ave E,"Cleveland, OH, 44114-2522",Eric S. Gordon,C,25.4,6110,1553,181,58.0,1829,808,1488,457,1178,213,1615,256,79.6
Cleveland Heights-University Heights City,103112280.62,Cuyahoga,2155 Miramar Blvd,"University Heights, OH, 44118-3301",Talisa L. Dixon,B,50.2,311,156,NC,29.5,81,58,89,54,72,23,69,21,98.7
Columbus City School District,741732367.9000001,,,,,,,,,,,,,,,,,,,
Conneaut Area City,17880523.4,Ashtabula,230 Gateway Ave,"Conneaut, OH, 44030-2355",Lori A. Riley,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,92.2
Coshocton City,16770015.57,Coshocton,1207 Cambridge Rd,"Coshocton, OH, 43812-2742",David L. Hire,B,55.7,131,73,NC,42.2,NC,NC,NC,NC,NC,NC,NC,NC,98.8
Cuyahoga Falls City,49756540.510000005,Summit,PO Box 396,"Cuyahoga Falls, OH, 44222-0396",Todd M. Nichols,C,36.8,231,85,NC,50.1,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Dayton City,198898767.54000002,Montgomery,115 S Ludlow St,"Dayton, OH, 45402-1812",Rhonda A. Corr,D,23.8,1888,450,NC,30.7,427,159,405,130,451,37,605,124,80.8
Deer Park Community City,14727889.65,Hamilton,4131 Matson Ave,"Cincinnati, OH, 45236-2509",Jack W. Phillips III,B,61.4,70,43,NC,51.8,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Defiance City,23710054.689999998,Defiance,629 Arabella St,"Defiance, OH, 43512-2856",Michael R. Struble,D,20.1,139,28,NC,43.0,NC,NC,NC,NC,NC,NC,NC,NC,95.2
Delaware City,54484300.55,Delaware,74 W William St,"Delaware, OH, 43015-2339",Paul A. Craft,C,41.2,296,122,NC,14.3,66,28,35,19,116,58,79,26,91.3
Delphos City,10018083.31,Allen,234 N Jefferson St,"Delphos, OH, 45833-1690",Kevin J. Wolfe,C,41.7,84,35,NC,43.7,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Dover City,24937181.47,Tuscarawas,219 W 6th St,"Dover, OH, 44622-2803",Carla J. Birney,C,31.0,229,71,NC,40.4,NC,NC,NC,NC,NC,NC,NC,NC,92.6
East Cleveland City School District,42169645.620000005,Cuyahoga,1843 Stanwood Rd,"East Cleveland, OH, 44112-2901",Myrna L. Corley,C,48.5,167,81,NC,60.7,NC,NC,NC,NC,NC,NC,NC,NC,84.5
East Liverpool City,26278427.3,Columbiana,810 W 8th St,"East Liverpool, OH, 43920-2302",Randy L. Taylor,D,17.9,106,19,NC,34.4,NC,NC,NC,NC,NC,NC,NC,NC,94.0
East Palestine City,11112550.129999999,Columbiana,200 West North Avenue,"East Palestine, OH, 44413-1779",Traci J. Hostetler,A,75.7,37,28,NC,57.6,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Eaton Community City,20413855.259999998,Preble,306 Eaton Lewisburg Rd,"Eaton, OH, 45320-1105",Barbara L. Curry,C,42.8,145,62,NC,21.3,NC,NC,NC,NC,NC,NC,NC,NC,98.1
Elyria City Schools,66876297.72,Lorain,42101 Griswold Rd,"Elyria, OH, 44035-2117",Thomas G. Jama,D,23.1,454,105,NC,54.7,83,28,75,16,96,14,200,50,94.7
Euclid City,73692627.49,Cuyahoga,651 E 222nd St,"Euclid, OH, 44123-2031",Charles A. Smialek,C,25.7,748,192,NC,39.9,135,52,173,79,201,28,239,39,53.7
Fairborn City,37509296.11,Greene,306 E Whittier Ave,"Fairborn, OH, 45324-5313",Mark O. North,C,25.7,230,59,NC,35.6,NC,NC,NC,NC,NC,NC,NC,NC,94.7
Fairview Park City,22765416.799999997,Cuyahoga,21620 Mastick Rd # A,"Fairview Park, OH, 44126-3047",William W. Wagner,C,35.6,160,57,NC,31.5,NC,NC,NC,NC,NC,NC,NC,NC,99.1
Findlay City,63444881.57,Hancock,2019 Broad Ave,"Findlay, OH, 45840-2749",Edward P. Kurt,C,44.2,274,121,NC,14.2,81,62,58,34,64,18,71,13,97.9
Fostoria City,18969649.79,Seneca,1001 Park Ave,"Fostoria, OH, 44830-1455",Andrew R. Sprang,D,15.6,109,17,NC,60.5,NC,NC,NC,NC,NC,NC,NC,NC,87.3
Franklin City,30895623.97,Warren,150 E 6th St,"Franklin, OH, 45005-2559",Michael D. Sander,C,28.3,237,67,15,38.3,NC,NC,NC,NC,NC,NC,NC,NC,98.4
Fremont City,41895543.01,Sandusky,500 W State St,"Fremont, OH, 43420-2572",Jon C. Detwiler,C,35.3,374,132,NC,45.1,111,49,89,45,84,19,90,19,96.0
Galion City,19021559.84,Crawford,470 Portland Way N,"Galion, OH, 44833-1115",James M. Grubbs,D,2.7,111,3,34,39.0,NC,NC,NC,NC,NC,NC,NC,NC,86.9
Gallipolis City,20551742.67,Gallia,61 State St,"Gallipolis, OH, 45631-1131",Craig D. Wright,C,26.9,238,64,12,55.1,96,34,47,13,44,13,51,16,87.7
Garfield Heights City Schools,41076685.3,Cuyahoga,5640 Briarcliff Dr,"Garfield Heights, OH, 44125-4158",Terrance S. Olszewski,C,24.7,364,90,NC,67.6,80,21,89,29,93,26,102,16,91.6
Geneva Area City,22299926.89,Ashtabula,135 S Eagle St,"Geneva, OH, 44041-1513",Eric M. Kujala,B,62.7,75,47,NC,40.9,NC,NC,NC,NC,NC,NC,NC,NC,99.4
Girard City School District,16530205.04,Trumbull,100 W Main St Ste 2,"Girard, OH, 44420-2598",David M. Cappuzzello,B,58.3,36,21,NC,50.5,NC,NC,NC,NC,NC,NC,NC,NC,98.2
Grandview Heights Schools,17043664.55,Franklin,1587 W 3rd Ave,"Columbus, OH, 43212-2825",Andrew K. Culp,C,33.3,15,5,NC,7.2,NC,NC,NC,NC,NC,NC,NC,NC,97.6
Winton Woods City,48218736.730000004,Hamilton,1215 W Kemper Rd,"Cincinnati, OH, 45240-1617",Anthony G. Smith,C,32.7,346,113,NC,33.8,NC,NC,NC,NC,NC,NC,NC,NC,74.6
Greenville City,25346553.96,Darke,215 W 4th St,"Greenville, OH, 45331-1423",Douglas W. Fries,C,33.1,254,84,NC,30.8,65,37,42,14,72,15,75,18,90.8
Hamilton City,103231121.75999999,Butler,PO Box 627,"Hamilton, OH, 45012-0627",Anthony T. Orr,C,41.2,323,133,NC,44.3,NC,NC,NC,NC,NC,NC,NC,NC,85.3
Heath City,16876288.04,Licking,107 Lancaster Dr,"Heath, OH, 43056-1220",Trevor R. Thomas,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,99.1
Hillsboro City,25602931.98,Highland,39 Willetsville Pike,"Hillsboro, OH, 45133-8277",Brian T. Davis,A,82.1,145,119,NC,23.9,54,53,18,12,57,44,16,11,97.9
Huron City Schools,14315647.4,Erie,712 Cleveland Rd E,"Huron, OH, 44839-1871",Dennis M. Muratori,C,44.2,52,23,NC,47.6,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Ironton City,14639634.35,Lawrence,105 S 5th St,"Ironton, OH, 45638-1426",William D. Nance,B,57.1,91,52,NC,36.2,NC,NC,NC,NC,NC,NC,NC,NC,98.9
Jackson City,24613610.060000002,Jackson,450 Vaughn St,"Jackson, OH, 45640-1944",Phillip R. Howard,C,46.7,334,156,NC,52.0,119,63,104,42,63,31,48,20,97.9
Kent City,44916350.089999996,Portage,321 N Depeyster St,"Kent, OH, 44240-2514",George J. Joseph,C,31.0,248,77,NC,41.4,NC,NC,NC,NC,NC,NC,NC,NC,98.9
Kenton City,21088806.08,Hardin,222 W Carrol St,"Kenton, OH, 43326-1202",Jennifer M. Penczarski,C,47.8,209,100,13,51.6,33,30,55,42,61,15,60,26,98.6
Kettering City School District,95244059.28999999,Montgomery,3750 Far Hills Ave,"Kettering, OH, 45429-2506",L Scott S. Inskeep,C,46.7,261,122,NC,11.3,NC,NC,NC,NC,NC,NC,NC,NC,99.0
Lakewood City,69918429.67,Cuyahoga,1470 Warren Rd,"Lakewood, OH, 44107-3918",Jeffrey W. Patterson,C,29.4,462,136,NC,28.6,107,36,84,25,118,14,153,70,94.9
Lancaster City,64220686.57,Fairfield,345 E Mulberry St,"Lancaster, OH, 43130-3166",Steven M. Wigton,C,38.7,452,175,NC,41.1,133,86,73,18,117,38,129,33,98.6
Lebanon City,47465169.72,Warren,700 Holbrook Ave,"Lebanon, OH, 45036-1648",Todd Yohey,B,50.2,257,129,NC,100.0,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Lima City,47970835.23,Allen,755 Saint Johns Ave,"Lima, OH, 45804-1552",Jill A. Ackerman,C,32.9,568,187,NC,60.0,NC,NC,NC,NC,NC,NC,NC,NC,91.4
Lockland Local,6652833.15,Hamilton,210 N Cooper Ave,"Cincinnati, OH, 45215-3011",Frederick T. Jebens,D,8.2,73,6,NC,100.0,NC,NC,NC,NC,NC,NC,NC,NC,87.9
Logan-Hocking Local,39726561.730000004,Hocking,2019 E Front St,"Logan, OH, 43138",Monte D. Bainter II,C,39.2,408,160,10,46.8,NC,NC,NC,NC,NC,NC,NC,NC,100.0
London City,19408107.25,Madison,380 Elm St 2nd Fl,"London, OH, 43140-9220",Louis A. Kramer,C,25.0,188,47,NC,65.3,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Lorain City,84770639.87,Lorain,2601 Pole Ave,"Lorain, OH, 44052-4301",Jeffrey M. Graham,C,25.6,536,137,NC,36.1,156,67,64,20,128,28,188,22,85.2
Loveland City,47288274.25,Hamilton,757 S Lebanon Rd,"Loveland, OH, 45140-9308",Amy C. Crouse,B,50.8,250,127,NC,14.4,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Madeira City,18208038.990000002,Hamilton,7465 Loannes Dr,"Cincinnati, OH, 45243-1851",Kenji Matsudo,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,98.4
Mansfield City,47447347.730000004,Richland,PO Box 1448,"Mansfield, OH, 44901-1448",Brian K. Garverick,D,16.3,301,49,47,46.5,NC,NC,NC,NC,NC,NC,NC,NC,77.3
Maple Heights City,41781533.480000004,Cuyahoga,5740 Lawn Ave,"Maple Heights, OH, 44137-3870",Charles T. Keenan,D,10.3,465,48,22,56.9,102,15,78,11,115,20,170,24,91.4
Mariemont City,21616655.47,Hamilton,2 Warrior Way,"Cincinnati, OH, 45227-3600",Steven E. Estepp,C,47.1,17,8,NC,100.0,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Marietta City,26001922.410000004,Washington,111 Academy Dr,"Marietta, OH, 45750-8053",William T. Hampton,C,27.9,201,56,NC,69.9,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Marion City,55309512.510000005,Marion,420 Presidential Dr,"Marion, OH, 43302-5173",Stephen P. Fujii,C,24.3,635,154,NC,26.2,155,46,136,21,192,68,152,22,88.0
Martins Ferry City,14139268.120000001,Belmont,5001 Ayers Limestone Rd,"Martins Ferry, OH, 43935-1588",James Fogle,C,25.5,51,13,14,19.8,NC,NC,NC,NC,NC,NC,NC,NC,83.8
Massillon City,42162395.03,Stark,930 17th St NE,"Massillon, OH, 44646-4853",Richard D. Goodright,C,34.3,306,105,NC,26.4,NC,NC,NC,NC,NC,NC,NC,NC,95.8
Maumee City,30657579.259999998,Lucas,716 Askin St,"Maumee, OH, 43537-3602",Todd M. Cramer,C,27.8,115,32,11,47.7,NC,NC,NC,NC,NC,NC,NC,NC,99.4
Mayfield City,60282524.660000004,Cuyahoga,1101 S.O.M. Center Road,"Mayfield Heights, OH, 44124-2006",KEITH W. KELLY,B,57.4,61,35,NC,10.0,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Medina City SD,76149631.44,Medina,739 Weymouth Rd,"Medina, OH, 44256-2037",Aaron J. Sable,C,36.0,367,132,48,24.1,50,34,94,54,131,67,92,25,100.0
Miamisburg City,55689149.120000005,Montgomery,540 E. Park Ave,"Miamisburg, OH, 45342-2854",David S. Vail,C,27.2,276,75,NC,21.0,NC,NC,NC,NC,NC,NC,NC,NC,93.8
Middletown City,61401991.14,Butler,1 Donham Plz 4th Fl,"Middletown, OH, 45042-1932",Marlon J. Styles,C,25.5,517,132,NC,29.6,139,65,89,18,127,36,162,18,89.2
Mt Healthy City,36027144.129999995,Hamilton,7615 Harrison Ave,"Cincinnati, OH, 45231-3107",Reva C. Cosby,D,17.9,390,70,11,64.4,NC,NC,NC,NC,NC,NC,NC,NC,66.2
Mount Vernon City,39142002.25,Knox,300 Newark Rd,"Mount Vernon, OH, 43050-4510",William D. Seder,B,56.4,335,189,34,29.3,88,77,57,40,138,92,52,14,96.9
Napoleon Area City,19767843.58,Henry,701 Briarheath Ave Ste 108,"Napoleon, OH, 43545-1251",Stephen R. Fogo,C,29.6,159,47,NC,38.3,NC,NC,NC,NC,NC,NC,NC,NC,90.7
Nelsonville-York City,14129148.85,Athens,2 Buckeye Dr,"Nelsonville, OH, 45764-9591",Charles D. McClelland,C,37.6,85,32,NC,45.5,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Newark City,65042525.769999996,Licking,621 Mount Vernon Rd,"Newark, OH, 43055-4615",Douglas C. Ute,B,51.9,270,140,71,35.6,NC,NC,NC,NC,NC,NC,NC,NC,95.6
New Boston Local,4597585.5600000005,Scioto,#1 Glenwood Tiger Trail,"New Boston, OH, 45662",Melinda M. Burnside,B,62.9,35,22,NC,47.4,NC,NC,NC,NC,NC,NC,NC,NC,100.0
New Lexington School District,22083745.060000002,Perry,2549 Panther Drive,"New Lexington, OH, 43764-0630",Casey H. Coffey,B,50.8,199,101,NC,60.6,78,50,30,21,43,11,48,20,100.0
New Philadelphia City,29092618.05,Tuscarawas,248 Front Ave SW,"New Philadelphia, OH, 44663-2150",David J. Brand,C,24.5,196,48,16,27.5,NC,NC,NC,NC,NC,NC,NC,NC,96.8
Niles City,25218788.16,Trumbull,309 N Rhodes Ave,"Niles, OH, 44446-3821",Ann Marie A. Thigpen,C,28.0,200,56,NC,26.9,NC,NC,NC,NC,NC,NC,NC,NC,95.1
North Canton City,44712188.54,Stark,525 7th St NE,"North Canton, OH, 44720-2012",Jeff S. Wendorf,B,49.7,193,96,NC,9.1,40,23,31,13,82,47,40,18,100.0
North College Hill City,14714714.56,Hamilton,1731 Goodman Ave,"Cincinnati, OH, 45239-4844",Eugene E. Blalock,F,-31.2,93,0,58,27.3,NC,NC,NC,NC,NC,NC,NC,NC,85.6
North Olmsted City,56636536.91,Cuyahoga,26669 Butternut Ridge Rd,"North Olmsted, OH, 44070-3154",Michael E. Zalar,C,26.9,208,56,14,25.0,52,27,44,16,46,10,66,17,95.3
North Ridgeville City,37478078.9,Lorain,5490 Mills Creek Ln,"North Ridgeville, OH, 44039-2339",James E. Powell,B,53.8,392,211,12,12.1,129,95,116,68,91,46,56,14,98.9
North Royalton City,47947628.75,Cuyahoga,6579 Royalton Rd,"North Royalton, OH, 44133-4925",Gregory J. Gurka,C,36.4,88,32,NC,13.5,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Norton City,23617990.07,Summit,4128 Cleveland Massillon Rd,"Norton, OH, 44203-5633",Dana W. Addis,C,38.3,60,23,NC,25.5,NC,NC,NC,NC,NC,NC,NC,NC,98.9
Norwalk City,25806416.13,Huron,134 Benedict Ave,"Norwalk, OH, 44857-2349",George E. Fisk,C,33.5,209,70,27,43.2,63,38,62,38,39,11,45,10,97.1
Norwood City,26103989.029999997,Hamilton,2132 Williams Ave,"Norwood, OH, 45212-3806",Katherine S. Sabo,C,47.4,196,93,NC,46.2,51,34,39,19,58,26,48,14,98.6
Oakwood City,26219566.540000003,Montgomery,20 Rubicon Rd,"Dayton, OH, 45409-2239",KYLE B. RAMEY,B,61.4,70,43,NC,6.3,NC,NC,NC,NC,NC,NC,NC,NC,99.3
Oberlin City Schools,13423666.98,Lorain,153 N Main St,"Oberlin, OH, 44074-1173",David H. Hall,C,35.5,76,27,NC,25.8,NC,NC,NC,NC,NC,NC,NC,NC,98.6
Oregon City,41791200.77,Lucas,5721 Seaman St,"Oregon, OH, 43616-2631",Hal D. Gregory,NR,NC,NC,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,87.4
Orrville City,15909196.870000001,Wayne,815 N Ella St,"Orrville, OH, 44667-1154",James J. Ritchie,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,96.1
Painesville City Local,35527285.94,Lake,58 Jefferson St,"Painesville, OH, 44077-3114",John T. Shepard,C,24.8,407,101,NC,85.4,NC,NC,NC,NC,NC,NC,NC,NC,83.6
Parma City,142678744.78,Cuyahoga,5311 Longwood Avenue,"Parma, OH, 44134-0932",Carl H. Hilling,C,41.3,506,209,NC,38.9,98,58,82,23,194,106,132,23,90.0
Piqua City,36696724.129999995,Miami,719 E Ash St,"Piqua, OH, 45356-2411",Dwayne A. Thompson,C,47.8,364,174,NC,28.6,NC,NC,NC,NC,NC,NC,NC,NC,99.6
Port Clinton City,20562903.79,Ottawa,811 Jefferson St,"Port Clinton, OH, 43452-2415",Patrick D. Adkins,C,47.2,108,51,NC,16.1,NC,NC,NC,NC,NC,NC,NC,NC,91.6
Portsmouth City,22754598.12,Scioto,724 Findlay St,"Portsmouth, OH, 45662-4113",Gary S. Dutey,D,17.9,240,43,16,43.7,NC,NC,NC,NC,NC,NC,NC,NC,89.2
Princeton City,73037440.54,Hamilton,3900 Cottingham Dr,"Cincinnati, OH, 45241-1616",Thomas S. Tucker,C,31.1,488,152,NC,10.8,57,12,103,36,181,72,147,32,97.8
Ravenna City,26833214.47,Portage,507 E Main St,"Ravenna, OH, 44266-3257",Dennis M. Honkala,C,26.1,234,61,NC,51.3,NC,NC,NC,NC,NC,NC,NC,NC,97.8
Reading Community City,16333090.079999998,Hamilton,1301 Bonnell St,"Reading, OH, 45215-3322",Charles R. Lafata,C,42.5,174,74,NC,16.5,NC,NC,NC,NC,NC,NC,NC,NC,99.2
Rocky River City,36149479.98,Cuyahoga,1101 Morewood Pkwy,"Rocky River, OH, 44116-1439",Michael G. Shoaf,B,57.1,21,12,NC,12.0,NC,NC,NC,NC,NC,NC,NC,NC,100.0
St Bernard-Elmwood Place City,12211613.85,Hamilton,105 Washington Ave,"Saint Bernard, OH, 45217-1317",Mary Eleanor E. Webb,C,32.8,58,19,NC,41.2,NC,NC,NC,NC,NC,NC,NC,NC,95.2
St Marys City,20493622.45,Auglaize,100 W Spring St,"Saint Marys, OH, 45885-2312",Howard A. Overman,C,47.4,78,37,NC,41.8,NC,NC,NC,NC,NC,NC,NC,NC,97.2
Salem City,19079260.4,Columbiana,1226 E State St,"Salem, OH, 44460-2222",Joseph A. Shivers,D,16.7,138,23,13,41.4,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Sandusky City,43597292.65,Erie,407 Decatur St,"Sandusky, OH, 44870-2442",Eugene T. Sanders,C,33.2,494,164,NC,65.1,NC,NC,NC,NC,NC,NC,NC,NC,84.6
Shaker Heights City,89332545.37,Cuyahoga,15600 Parkland Dr,"Shaker Heights, OH, 44120-2529",Gregory C. Hutchings,C,39.9,333,133,11,22.9,52,29,75,35,89,26,117,54,97.8
Sheffield-Sheffield Lake City,18678506.21,Lorain,1824 Harris Rd,"Sheffield Village, OH, 44054-2628",Michael F. Cook,D,21.2,66,14,NC,40.0,NC,NC,NC,NC,NC,NC,NC,NC,96.3
Shelby City,19314511.23,Richland,25 High School Ave,"Shelby, OH, 44875-1576",Timothy S. Tarvin,B,50.3,157,79,NC,41.3,NC,NC,NC,NC,NC,NC,NC,NC,94.5
Sidney City,31804562.54,Shelby,750 S 4th Ave,"Sidney, OH, 45365-1163",John F. Scheu,C,30.7,267,82,NC,25.2,52,25,50,15,83,19,82,23,96.4
South Euclid-Lyndhurst City,55778575.79,Cuyahoga,5044 Mayfield Rd,"Lyndhurst, OH, 44124-2605",Linda N. Reid,C,32.2,382,123,NC,60.9,100,38,68,10,91,21,123,54,95.5
South-Western City,233375619.28,Franklin,3805 Marlane Dr,"Grove City, OH, 43123-9224",William H. Wise,B,52.2,1338,698,NC,65.5,603,495,157,72,263,98,315,34,84.4
Springfield City School District,94220226.1,Clark,1500 W Jefferson St,"Springfield, OH, 45506-1224",Robert F. Hill,C,42.0,1055,443,63,49.1,347,224,297,160,234,104,177,18,88.4
Steubenville City,25643953.759999998,Jefferson,PO Box 189,"Steubenville, OH, 43952-5189",Melinda M. Young,B,73.1,108,79,NC,33.8,NC,NC,NC,NC,NC,NC,NC,NC,99.4
