District,OperatingExpenditures,County,Address,City and Zip,Superintendent,Performance Index Score 2016-17,Performance Index Score 2015-16,Performance Index Score 2014-15,Performance Index Percent 2016-17,Grade,Percent of Students Not Tested,Percent of Students Below,Percent of Students Basic,Percent of Students Proficient,Percent of Students Accelerated,Percent of Students Advanced,Percent of Students Advanced Plus,Gifted Performance Index Score 2016-17,Gifted Performance Index 2016-17,Percent of Gifted Students Not Tested,Percent of Gifted Students Below,Percent of Gifted Students Basic,Percent of Gifted Students Proficient,Percent of Gifted Students Accelerated,Percent of Gifted Students Advanced,Percent of Gifted Students Advanced Plus
New Albany-Plain Local,55056240.19,Franklin,55 N High St,"New Albany, OH, 43054-7099",Michael L. Sawyers,102.738,97.835,101.243,85.6,B,0.1,5.9,10.6,19.6,26.5,26,11.2,120.544,100.5,0,0.1,1,3.2,14.8,46.3,34.5
Reynoldsburg City,66087728.27,Franklin,7244 E Main St,"Reynoldsburg, OH, 43068-2014",Melvin Brown,84.878,83.024,91.416,70.7,C,0.4,17.8,19,25.4,21.5,15.4,0.4,112.091,93.4,0.5,1.5,3.2,7.7,28,56.5,2.6
Hilliard City,183974260.8,Franklin,2140 Atlas St,"Columbus, OH, 43228-9647",John C. Marschhausen,90.573,90.262,95.893,75.5,C,0.2,12.4,16.6,29.3,23.7,16.1,1.6,115.639,96.4,0,0.2,1,9.3,26.8,52.5,10.1
Dublin City,194985705.6,Franklin,7030 Coffman Rd,"Dublin, OH, 43017-1068",Todd F. Hoadley,98.585,100.116,102.627,82.2,B,0.5,7.5,11.4,24.3,26.8,25.8,3.7,116.539,97.1,0.6,0.1,1,6.2,21.7,57.1,13.3
Johnstown-Monroe Local,14273438.93,Licking,441 S Main St,"Johnstown, OH, 43031-1297",Dale L. Dickson,94.786,91.784,97.056,79,C,0.4,9.6,12.9,28.4,26,22.3,0.3,114.67,95.6,0.4,0,1.8,7.9,24.7,62.1,3.1
Licking Heights Local,38173728.57,Licking,6539 Summit Rd SW,"Pataskala, OH, 43062-8767",Philip H. Wagner,85.602,84.864,95.909,71.3,C,0.1,16.9,19,27.1,22.4,14.4,0.1,112.739,93.9,0.2,0.2,2,10.8,36.8,48.6,1.4
Northridge Local,12817264.88,Licking,6066 Johnstown Utica Rd,"Johnstown, OH, 43031-9408",Scott A. Schmidt,89.53,85.82,91.493,74.6,C,0.2,11.5,18.8,30.6,25.2,13.3,0.5,110.072,91.7,2.9,1.4,0.7,14.4,24.5,50.4,5.8
Southwest Licking Local,35444018.26,Licking,927-A South Street,"Pataskala, OH, 43062",Robert T. Jennell,93.177,88.963,88.598,77.6,C,0.5,10.6,14.4,27.2,26.7,20.2,0.4,114.756,95.6,0.1,0.3,2,6.8,26.5,60.7,3.6
Jefferson Local,13419553.07,Madison,906 W Main St,"West Jefferson, OH, 43162-1144",William R. Mullett,88.426,83.385,94.374,73.7,C,0.1,12.3,20.8,28.5,22.4,15.7,0.2,115.224,96,0,0,0,13.4,25.4,56.7,4.5
Jonathan Alder Local,20620481.49,Madison,9200 US Route 42 S,"Plain City, OH, 43064",Gary L. Chapman,95.778,92.532,100.046,79.8,C,1,8.5,12.8,25.7,26.1,25.2,0.7,115.439,96.2,0.7,0,0.7,6.2,23.8,65.2,3.4
Teays Valley Local,36621254.73,Pickaway,385 Viking Way,"Ashville, OH, 43103-9638",Robin N. Halley,96.824,92.139,96.683,80.7,B,0.5,7.6,13.4,25.6,26.8,25.9,0.3,116.057,96.7,0.2,0,0.9,8.5,16.7,71.4,2.3
Westfall Local,15736435.65,Pickaway,19463 Pherson Pike,"Williamsport, OH, 43164-9745",Lynn P. Landis,85.115,82.539,87.531,70.9,C,0,17.4,18.4,30.6,20.3,13.2,0,114.273,95.2,0,0,0.9,8.8,34.4,55.9,0
Fairbanks Local,11803640.99,Union,11158 State Route 38,"Milford Center, OH, 43045-9764",Robert J. Humble,94.381,93.97,97.268,78.7,C,0,10.5,13.3,27.2,26.9,22,0,115.434,96.2,0,0,0.6,6.4,29.5,63.6,0
